Scenario,Months,UBI,NetFiscalPosition,PITScale,CorpRate,VATRate,TotalTaxes,TotalUBI,TotalOtherSpending,TotalEmigrants,TotalImmigrants,FinalTaxpayers,AvgUnemployment,FinalPriceLevel,FinalInterestRate,FinalFirms,AvgTradeBalance
Baseline_NoUBI,12,0,-73251952051918.406495276300606,1.1500,0.1372,0.0700,7748047948081.5935047236993931,0,81000000000000,694383,144,259305761,0.0473,1.0248,0.0100,6308000,-82262400744.36521139467401475
UBI_600_Balanced,12,600,-75098857978769.121020728658915,1.1500,0.1372,0.0700,7771057211430.8789792713410837,1869915190200,81000000000000,627442,145,259372703,0.0488,1.0248,0.0100,6308000,-82262400744.36521139467401475
UBI_1000_Balanced,12,1000,-76331061641344.624749353758974,1.1500,0.1372,0.0700,7785463683655.3752506462410255,3116525325000,81000000000000,627442,147,259372705,0.0500,1.0248,0.0100,6308000,-82262400744.36521139467401475
UBI_1200_Balanced,12,1200,-76943652645640.256347402616924,1.1500,0.1372,0.0700,7796177755159.7436525973830758,3739830400800,81000000000000,627442,148,259372706,0.0500,1.0248,0.0100,6308000,-82262400744.36521139467401475
UBI_1500_DeficitOK,12,1500,-77865204275225.127653032028615,1.1500,0.1372,0.0700,7809583745274.8723469679713856,4674788020500,81000000000000,627442,151,259372709,0.0505,1.0248,0.0100,6308000,-82262400744.36521139467401475
UBI_800_Surplus,12,800,-75715697174709.561454072796499,1.1500,0.1372,0.0700,7777523081290.4385459272035003,2493220256000,81000000000000,627442,146,259372704,0.0495,1.0248,0.0100,6308000,-82262400744.36521139467401475
